Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);A01 - Broken Access Control;A04 - Insecure Design;A06 - Vulnerable and Outdated Components;A07 - Identification and Authentication Failures;A09 - Security Logging and Monitoring Failures;A10 - Server-Side Request Forgery;CSV Injection;CRLF Injection;Unrestricted File Upload;X-Powered-By Exposure;Iframe Kullanımı;Mixed Content Risk;Deprecated HTML Elements;Referrer Policy Mevcut mu?;Gzip Compression Aktif mi?;robots.txt Var mı?;sitemap.xml Var mı?;Doctype Var mı?;Title Tag Var mı?;Secure/HttpOnly Cookie Flag Eksik?;HSTS Süresi Yetersiz mi?;CORS Açıklığı Var mı?;Yanıt Süresi (ms);Mobil Uyumlu mu?;Başlık Boş mu?;Tüm IMG'lerde Lazy Load Var mı?;Formda Password Input Var mı?;Toplam HTML Tag Sayısı;Tracking Script Var mı?;HTTPS Yönlendirme Var mı?;Sıkı CSP Var mı?;OG Tag Var mı?;Structured Data Var mı?;SSL Sertifikası Geçerli mi?;H1 Etiket Sayısı;Inline Script Kullanımı;Meta Robots İçeriği;Başlık Uzunluğu (karakter);Tüm IMG'lerde loading/width/height var mı?;Toplam Skor
ABDULLAH GÜL ÜNİVERSİTESİ;http://www.agu.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;1;0;0;0;0;0;0;;0;0;8
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ;http://www.acibadem.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.atu.edu.tr;1;1;9.04.2025 00:00;10.05.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;1;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;500;0;1;1;0;160;0;1;0;0;0;1;0;1;;0;0;16
ADIYAMAN ÜNİVERSİTESİ;http://www.adiyaman.edu.tr/;1;1;17.10.2024 00:00;23.10.2025 23:59;1;0;0;0;0;0;1;1;1;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;608;0;0;1;0;1206;0;1;0;0;0;1;1;1;;28;0;19
AFYON KOCATEPE ÜNİVERSİTESİ;http://www.aku.edu.tr;1;1;20.09.2024 00:00;20.08.2025 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;815;1;0;1;0;1664;0;1;0;0;0;1;0;1;;27;0;23
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;www.afsu.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ;http://www.agri.edu.tr;1;1;9.01.2025 00:00;9.02.2026 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;2738;1;0;1;0;1278;0;1;0;0;0;1;0;1;;56;0;19
AKDENİZ ÜNİVERSİTESİ;http://www.akdeniz.edu.tr;1;1;6.06.2024 00:00;11.06.2025 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;598;1;0;1;0;1390;0;1;0;0;0;1;0;1;;32;0;23
AKSARAY ÜNİVERSİTESİ;www.aksaray.edu.tr;1;1;17.05.2025 20:31;15.08.2025 21:29;0;0;1;0;0;0;1;1;1;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;0;2586;1;0;1;0;896;0;1;0;0;0;1;0;1;;20;0;22
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ;http://www.alanya.edu.tr/;1;1;8.05.2025 12:31;6.08.2025 12:31;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;0;736;1;0;1;0;1138;0;1;0;0;0;1;0;1;;37;0;17
