Birim Adı;Güvenlik Skoru (%);;;;
ANKARA BİLİM ÜNİVERSİTESİ;58.74;;;;
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ;58.74;;;;
BİRUNİ ÜNİVERSİTESİ;57.49;;;;
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ;57.49;;;;
HACETTEPE ÜNİVERSİTESİ;57.07;;;;
PİRİ REİS ÜNİVERSİTESİ;57.07;;;;
GÜMÜŞHANE ÜNİVERSİTESİ;55.41;;;;
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ;55.41;;;;
OSMANİYE KORKUT ATA ÜNİVERSİTESİ;55.41;;;;
ANADOLU ÜNİVERSİTESİ;54.16;;;;
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ;54.16;;;;
LOKMAN HEKİM ÜNİVERSİTESİ;54.16;;;;
AFYON KOCATEPE ÜNİVERSİTESİ;53.74;;;;
ANKARA ÜNİVERSİTESİ;53.74;;;;
BOĞAZİÇİ ÜNİVERSİTESİ;53.74;;;;
BURSA TEKNİK ÜNİVERSİTESİ;53.74;;;;
IĞDIR ÜNİVERSİTESİ;53.74;;;;
İSTANBUL ATLAS ÜNİVERSİTESİ;53.74;;;;
KADİR HAS ÜNİVERSİTESİ;53.74;;;;
KİLİS 7 ARALIK ÜNİVERSİTESİ;53.74;;;;
KONYA GIDA VE TARIM ÜNİVERSİTESİ;53.74;;;;
KONYA TEKNİK ÜNİVERSİTESİ;53.74;;;;
MEF ÜNİVERSİTESİ;53.74;;;;
MERSİN ÜNİVERSİTESİ;53.74;;;;
ATILIM ÜNİVERSİTESİ;52.91;;;;
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;52.07;;;;
NECMETTİN ERBAKAN ÜNİVERSİTESİ;52.07;;;;
UFUK ÜNİVERSİTESİ;51.66;;;;
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ;51.24;;;;
KTO KARATAY ÜNİVERSİTESİ;51.24;;;;
SİVAS CUMHURİYET ÜNİVERSİTESİ;51.24;;;;
BAYBURT ÜNİVERSİTESİ;50.83;;;;
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ;50.83;;;;
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ;50.41;;;;
AKDENİZ ÜNİVERSİTESİ;50.41;;;;
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ;50.41;;;;
AYDIN ADNAN MENDERES ÜNİVERSİTESİ;50.41;;;;
BARTIN ÜNİVERSİTESİ;50.41;;;;
BATMAN ÜNİVERSİTESİ;50.41;;;;
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ;50.41;;;;
BURSA ULUDAĞ ÜNİVERSİTESİ;50.41;;;;
ERCİYES ÜNİVERSİTESİ;50.41;;;;
GİRESUN ÜNİVERSİTESİ;50.41;;;;
İSTANBUL KENT ÜNİVERSİTESİ;50.41;;;;
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ;50.41;;;;
İZMİR DEMOKRASİ ÜNİVERSİTESİ;50.41;;;;
KAFKAS ÜNİVERSİTESİ;50.41;;;;
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ;50.41;;;;
